smws_code,smoky,peaty,sherry,fruity,spicy,sweet,rich
50.35,0.0,0.0,0.0,0.2,0.0,0.8,1.0
50.40,0.2,0.0,0.0,0.0,0.4,0.2,0.2
50.42,0.0,0.0,0.0,0.2,0.4,0.6,0.2
50.45,0.0,0.0,0.0,0.8,0.2,0.6,0.4
50.46,0.0,0.0,0.0,0.6,0.2,0.8,0.4
50.49,0.0,0.0,0.0,0.4,0.2,0.8,0.0
50.51,0.0,0.0,0.0,0.4,0.2,0.6,0.6
50.56,0.0,0.0,0.0,0.4,0.4,0.8,0.0
50.64,0.0,0.0,0.0,0.8,0.8,0.6,0.4
50.66,0.0,0.0,0.0,1.0,0.4,1.0,0.2
50.67,0.0,0.0,0.0,0.4,0.0,1.0,0.6
50.70,0.0,0.0,0.0,0.8,0.8,0.4,0.4
50.80,0.0,0.0,0.0,0.0,0.2,0.2,0.4
052.14,0.0,0.0,0.0,0.0,0.0,0.2,0.0
52.20,0.0,0.0,0.0,0.4,0.0,0.4,0.0
53.23,0.2,0.6,0.0,0.0,0.0,0.2,0.0
53.108,0.6,0.0,0.0,0.2,0.0,0.2,0.0
53.109,0.2,0.2,0.0,0.0,0.4,0.2,0.0
53.111,0.6,0.0,0.0,0.2,0.8,0.2,0.4
53.133,0.8,0.0,0.0,0.0,0.2,0.4,0.6
53.138,0.4,0.6,0.0,0.0,0.8,0.4,0.0
53.139,0.6,0.4,0.0,0.0,0.0,0.2,0.0
53.144,0.6,0.6,0.0,0.4,0.4,0.4,0.4
53.147,0.8,0.4,0.0,0.4,0.4,0.6,0.2
53.151,0.4,0.2,0.0,0.0,0.0,0.6,0.2
53.153,1.0,0.2,0.0,0.2,0.0,0.8,0.2
53.154,0.6,0.4,0.2,0.2,0.0,0.0,0.0
53.157,0.6,0.2,0.0,0.2,0.2,0.0,0.4
53.158,0.4,0.6,0.0,0.0,0.2,0.4,0.0
